code;unterrichtsformat;syncInteraktion;asynchroneTN;asyncInteraktion
so-async-0-4-0;Digital asynchroner Kurs;minimal;exklusiv asynchron;minimal
so-async-0-4-1;Digital asynchroner Kurs;minimal;exklusiv asynchron;Interaktionsmöglichkeiten St-LP
so-async-0-4-2;Digital asynchroner Kurs;minimal;exklusiv asynchron;Interaktionsmöglichkeiten St-St und St-LP
vl-rem-0-0-0;Vorlesung als Remote Classroom;minimal;exklusiv synchron;minimal
vl-rem-0-0-1;Vorlesung als Remote Classroom;minimal;exklusiv synchron;Interaktionsmöglichkeiten St-LP
vl-rem-0-0-2;Vorlesung als Remote Classroom;minimal;exklusiv synchron;Interaktionsmöglichkeiten St-St und St-LP
vl-rem-0-1-0;Vorlesung als Remote Classroom;minimal;ergänzende Nacharbeit;minimal
vl-rem-0-1-1;Vorlesung als Remote Classroom;minimal;ergänzende Nacharbeit;Interaktionsmöglichkeiten St-LP
vl-rem-0-1-2;Vorlesung als Remote Classroom;minimal;ergänzende Nacharbeit;Interaktionsmöglichkeiten St-St und St-LP
vl-rem-0-2-0;Vorlesung als Remote Classroom;minimal;ergänzende Vor- und Nacharbeit (Flipped Classroom);minimal
vl-rem-0-2-1;Vorlesung als Remote Classroom;minimal;ergänzende Vor- und Nacharbeit (Flipped Classroom);Interaktionsmöglichkeiten St-LP
vl-rem-0-2-2;Vorlesung als Remote Classroom;minimal;ergänzende Vor- und Nacharbeit (Flipped Classroom);Interaktionsmöglichkeiten St-St und St-LP
vl-rem-0-3-0;Vorlesung als Remote Classroom mit asynchroner Teilnahme-Alternative;minimal;asynchron als mgl. Ersatz.;minimal
vl-rem-0-3-1;Vorlesung als Remote Classroom mit asynchroner Teilnahme-Alternative;minimal;asynchron als mgl. Ersatz.;Interaktionsmöglichkeiten St-LP
vl-rem-0-3-2;Vorlesung als Remote Classroom mit asynchroner Teilnahme-Alternative;minimal;asynchron als mgl. Ersatz.;Interaktionsmöglichkeiten St-St und St-LP
vl-rem-1-0-0;Vorlesung als Remote Classroom;St-LP;exklusiv synchron;minimal
